R,hint,施設名,0,1
241.0,241,幼保連携型認定こども園　神戸学園都市YMCAこども園,4010782.76709482,#fdb14b60
242.0,242,認定こども園　ななほし保育園,1562831.985690045,#fed26f60
243.0,243,幼保連携型認定こども園　あい保育園,871944.7827947929,#fec56060
244.0,244,幼保連携型認定こども園　あゆみ幼児園,7407397.17197547,#f2392460
245.0,245,幼保連携型認定こども園　同朋にこにここども園　※分園含む　※２,3760920.0233382634,#fed77460
246.0,246,幼保連携型認定こども園　わらべ保育園,2775391.0300012855,#ffeda160
247.0,247,幼保連携型認定こども園　有瀬幼稚園,443504.0793379433,#f9482860
248.0,248,認定こども園　さくらんぼ幼稚園,12113399.773722863,#fed87560
249.0,249,認定こども園　いぶき幼稚園,7930092.3299190495,#fdb14b60
250.0,250,認定こども園　桑ノ木幼稚園,609715.7848828732,#fc843960
251.0,251,玉津保育所,1170801.2299344973,#fda94860
252.0,252,押部谷保育所,6570749.999079666,#fedd8060
253.0,253,王塚台保育所,1070531.9389948198,#fedf8260
254.0,254,日輪寺保育園,2669725.1629262273,#fece6b60
255.0,255,弁天保育園,671933.3202112517,#f6432760
256.0,256,神出保育園,15994878.886522768,#fc863a60
257.0,257,平野保育園,5402852.470006247,#fdab4960
258.0,258,出合保育園,879895.9552540507,#fedb7a60
259.0,259,持子保育園,1191931.0257890655,#fedb7a60
260.0,260,竹の台保育園,2067459.7561641333,#fd8f3d60
261.0,261,美賀多保育園,7042491.0512961075,#fc622f60
262.0,262,まゆか保育園,2236135.616023449,#fed26f60
263.0,263,つぐみ保育園,901930.2984750003,#fee48d60
264.0,264,ひまわり保育園,2084702.5699337272,#fee48d60
265.0,265,なかよし保育園　　※分園を含む,1715298.5808333065,#feb65060
266.0,266,あおぞら保育園,1311957.4758348307,#fedb7a60
267.0,267,枦谷つぐみ保育園,1463877.925886015,#fdb04b60
268.0,268,枝吉保育所,881099.8089424726,#fedf8260
269.0,269,井吹北つぐみ保育園　　※分園を含む,1078478.647609123,#febb5660
281.0,281,幼保連携型認定こども園　若木保育園,424094.48869570607,#feda7860
282.0,282,幼保連携型認定こども園　大手幼稚園,553233.219245916,#febc5760
283.0,283,幼保連携型認定こども園　西須磨幼稚園,1004382.1209011007,#00000000
284.0,284,幼保連携型認定こども園　神戸YMCAちとせ幼稚園,1608079.2032605486,#febf5a60
285.0,285,認定こども園　禅昌寺幼稚園,2147189.1903744903,#fc522b60
286.0,286,須磨保育所,294113.0602377812,#fd9d4360
287.0,287,たかとり保育所,400153.47470802604,#00000000
288.0,288,高倉台保育所,1389777.2131918897,#fd953f60
289.0,289,東須磨愛児園　　※分園含む,1120086.708011837,#fda04460
291.0,291,千歳保育園,224710.000038386,#fff0a860
292.0,292,村雨保育園　※分園含む　※２,556703.556639874,#fff5b460
293.0,293,すまいる保育園,2067124.935568199,#fff7b860
294.0,294,いたやど保育園,257018.8119427575,#fff0a860
295.0,295,若宮保育園,525729.3588627956,#fff5b460
296.0,296,たかとりちどり保育園,208504.75324412808,#fff0a860
301.0,301,幼保連携型認定こども園　多夢の森,207975.71011000595,#f9482860
