R,hint,施設名,0,1
0.0,0,幼保連携型みのり認定こども園,507281.41134917474,#feec9e60
1.0,1,聖ミカエル幼保連携型認定こども園,105026.98717356852,#fee79360
2.0,2,幼保連携型認定こども園　はたつかこども園,346995.241064649,#fed26f60
3.0,3,大慈ほまれ幼保連携型認定こども園,405739.4891239645,#feb54f60
7.0,7,生田保育所,305417.41392635705,#fee99960
8.0,8,たちばな保育所,337702.65690053365,#feea9a60
10.0,10,宮本保育所,438837.67511770607,#fd9b4260
11.0,11,二宮保育所※,127873.49699005645,#fc843960
12.0,12,神若保育所,125132.92591524043,#febd5860
14.0,14,友愛幼児園,139591.8591917332,#fda04460
15.0,15,めぐみ愛児園,97993.17905215434,#fd933e60
16.0,16,協和保育園,654743.8278413396,#febb5660
17.0,17,大慈保育園　　※分園を含む,302029.01597586495,#fdaf4a60
18.0,18,ポートピア保育園,5544490.008178783,#fdae4a60
19.0,19,真生きらきら保育園,560260.6582296399,#fee48e60
20.0,20,神女中山手保育園,268302.24781439843,#fc763560
21.0,21,成晃ひかり保育園,5638298.997406502,#fee48d60
22.0,22,北野坂保育園,2794123.6874291194,#fc7c3760
23.0,23,（仮称）元町ちどり保育園,409480.2441557672,#e6201d60
24.0,24,李　赤ちゃんホーム,362896.5003511479,#e6201d60
25.0,25,酒井　赤ちゃんホーム,1929792.320460578,#fed37060
26.0,26,Ohana保育園,120406.08130465994,#fd9a4160
27.0,27,トアハッピー保育園,241909.77102354483,#fc883a60
29.0,29,ポピンズ神戸旧居留地,778096.6170348057,#feb85360
30.0,30,スペースかすがのみち保育ルーム,154933.0095927185,#feca6560
31.0,31,小規模保育園　はーもにぃ,233709.19293559546,#feb34e60
32.0,32,新神戸アイテラス保育園,2623567.3469497547,#ffeea260
33.0,33,小規模保育園なぎさ,191576.45330744726,#fee79360
34.0,34,元町キッズルーム,528651.6754912417,#fc8a3b60
35.0,35,フォアベルク保育園,615607.8237520672,#ffeea360
36.0,36,キッズパートナー三宮,105902.63847693102,#feb75260
37.0,37,神戸ＹＷＣＡ保育園,125249.35550561716,#fff0a960
38.0,38,神戸オリーブ保育園,233964.94902246504,#fc6e3360
39.0,39,京進のほいくえんＨＯＰＰＡ神戸駅前園,254664.4955364107,#fdb14b60
40.0,40,はーもにぃⅠｓｏｂｅ,772520.3810667725,#ffefa560
41.0,41,幼保連携型認定こども園　聖ニコラス天使園,321615.8166664382,#fee08560
42.0,42,幼保連携型認定こども園　夢　　※分園を含む　※１,459108.29366612865,#fec76360
43.0,43,幼保連携型認定こども園　石屋川くるみ保育園,376757.5885082245,#feba5460
44.0,44,幼保連携型認定こども園　本山北町あすのこども園,1080340.5217004796,#f53f2660
45.0,45,認定こども園　魚崎COCORO,1458344.2964317969,#fee18660
46.0,46,幼保連携型認定こども園　きらり保育園,181324.29855108104,#fda14460
47.0,47,幼保連携型認定こども園　きたおおぎこども園,155410.15068886057,#febd5860
48.0,48,認定こども園　松蔭おかもと保育園,744220.4944114083,#fc643060
49.0,49,幼保連携型認定こども園　第２きらり保育園,527747.7181195535,#fda94860
50.0,50,幼保連携型認定こども園　同朋住吉台こども園,6933399.050249394,#aa002660
51.0,51,幼保連携型認定こども園　甲南すこやかこども園,324278.5320022631,#fedc7d60
52.0,52,幼保連携型認定こども園　モーツァルトこども園,85980.07883363127,#fec56060
53.0,53,認定こども園　あおい宙,116920.18635787375,#feb34e60
54.0,54,幼保連携型認定こども園　甲南こども園,935881.2706297929,#fdaa4860
56.0,56,魚崎保育所,1326738.1362681806,#fee48e60
57.0,57,東灘本庄保育所,851363.5995378868,#feea9a60
58.0,58,御影保育所,263314.7992832344,#fc5e2e60
59.0,59,本山保育所,175656.25204668188,#fc803860
60.0,60,渦森台保育所,10843611.558818357,#fee99760
61.0,61,中野保育所,143101.2963324536,#febb5660
62.0,62,瀬戸保育所,228465.36003032333,#feec9f60
63.0,63,田中保育所,159676.51159915206,#fec86460
64.0,64,浜御影保育所,159365.8926954863,#fee18660
65.0,65,住吉公園保育所,183392.30202015175,#fda24560
66.0,66,光の子保育園　　※分園を含む　※２,1980222.2837276752,#fecd6960
67.0,67,小規模保育園光の子リジョイス,1439533.6740938842,#fda84760
68.0,68,ベネッセ本山保育園,194541.29791196267,#fc643060
69.0,69,親和保育園,956955.8440808369,#fc6c3260
70.0,70,虹保育園,1003750.5445765065,#fedb7c60
71.0,71,岡本ハーベスト保育園,1184149.4715071525,#e31c1c60
73.0,73,甲南山手保育園,264760.4124908074,#fec25d60
